Freq.	-V(n002)/I(R3)
1.40928879842186e+003	(1.37276499197178e+002dB,-4.56616599567713e+001°)
1.41253754462274e+003	(1.37266307148784e+002dB,-4.57280089188671e+001°)
1.41579377995707e+003	(1.37256092038517e+002dB,-4.57943558409281e+001°)
1.41905752168908e+003	(1.37245853868345e+002dB,-4.58607003756160e+001°)
1.42232878712281e+003	(1.37235592640484e+002dB,-4.59270421756816e+001°)
1.42560759360218e+003	(1.37225308357389e+002dB,-4.59933808939806e+001°)
1.42889395851109e+003	(1.37215001021758e+002dB,-4.60597161834764e+001°)
1.43218789927353e+003	(1.37204670636534e+002dB,-4.61260476972499e+001°)
1.43548943335364e+003	(1.37194317204898e+002dB,-4.61923750885150e+001°)
1.43879857825583e+003	(1.37183940730278e+002dB,-4.62586980106199e+001°)
1.44211535152486e+003	(1.37173541216339e+002dB,-4.63250161170608e+001°)
1.44543977074592e+003	(1.37163118666991e+002dB,-4.63913290614883e+001°)
1.44877185354475e+003	(1.37152673086386e+002dB,-4.64576364977219e+001°)
1.45211161758773e+003	(1.37142204478915e+002dB,-4.65239380797527e+001°)
1.45545908058195e+003	(1.37131712849211e+002dB,-4.65902334617561e+001°)
1.45881426027534e+003	(1.37121198202150e+002dB,-4.66565222981018e+001°)
1.46217717445671e+003	(1.37110660542847e+002dB,-4.67228042433592e+001°)
1.46554784095590e+003	(1.37100099876656e+002dB,-4.67890789523090e+001°)
1.46892627764385e+003	(1.37089516209174e+002dB,-4.68553460799536e+001°)
1.47231250243271e+003	(1.37078909546239e+002dB,-4.69216052815253e+001°)
1.47570653327588e+003	(1.37068279893924e+002dB,-4.69878562124937e+001°)
1.47910838816819e+003	(1.37057627258547e+002dB,-4.70540985285739e+001°)
1.48251808514594e+003	(1.37046951646662e+002dB,-4.71203318857413e+001°)
1.48593564228699e+003	(1.37036253065062e+002dB,-4.71865559402341e+001°)
1.48936107771090e+003	(1.37025531520780e+002dB,-4.72527703485671e+001°)
1.49279440957898e+003	(1.37014787021086e+002dB,-4.73189747675366e+001°)
1.49623565609442e+003	(1.37004019573491e+002dB,-4.73851688542338e+001°)
1.49968483550236e+003	(1.36993229185739e+002dB,-4.74513522660511e+001°)
1.50314196609001e+003	(1.36982415865816e+002dB,-4.75175246606901e+001°)
1.50660706618673e+003	(1.36971579621941e+002dB,-4.75836856961734e+001°)
1.51008015416413e+003	(1.36960720462573e+002dB,-4.76498350308509e+001°)
1.51356124843619e+003	(1.36949838396404e+002dB,-4.77159723234106e+001°)
1.51705036745932e+003	(1.36938933432366e+002dB,-4.77820972328864e+001°)
1.52054752973248e+003	(1.36928005579624e+002dB,-4.78482094186678e+001°)
1.52405275379728e+003	(1.36917054847577e+002dB,-4.79143085405080e+001°)
1.52756605823806e+003	(1.36906081245860e+002dB,-4.79803942585296e+001°)
1.53108746168201e+003	(1.36895084784344e+002dB,-4.80464662332450e+001°)
1.53461698279928e+003	(1.36884065473131e+002dB,-4.81125241255482e+001°)
1.53815464030302e+003	(1.36873023322558e+002dB,-4.81785675967351e+001°)
1.54170045294954e+003	(1.36861958343194e+002dB,-4.82445963085133e+001°)
1.54525443953840e+003	(1.36850870545843e+002dB,-4.83106099230000e+001°)
1.54881661891247e+003	(1.36839759941537e+002dB,-4.83766081027406e+001°)
1.55238700995807e+003	(1.36828626541543e+002dB,-4.84425905107164e+001°)
1.55596563160506e+003	(1.36817470357358e+002dB,-4.85085568103476e+001°)
1.55955250282694e+003	(1.36806291400710e+002dB,-4.85745066655076e+001°)
